ID,Rank,Sales
421229,1,130055
242319,2,228235
379070,3,326673
383116,4,424744
415377,5,523038
429874,6,621448
400839,7,720985
321106,8,820860
376799,9,920610
420768,10,1019103
410796,11,1118843
386669,12,1218206
431998,13,1317927
420802,14,1417319
238437,15,1516972
422264,16,1616197
425029,17,1716173
400856,18,1815455
378586,19,1914721
412005,20,2013545
399141,21,2113269
410331,22,2213061
384914,23,2312654
420648,24,2412106
372643,25,2511997
431109,26,2611526
422327,27,2711371
377006,28,2810996
434788,29,2910281
395736,30,3010205
401274,31,3110125
375063,32,3210082
436832,33,339968
436396,34,349050
379715,35,358828
394981,36,368711
426223,37,378632
294913,38,388445
408751,39,398362
419672,40,408283
434602,41,417766
397676,42,427696
424209,43,437684
384535,44,447620
436253,45,457508
399689,46,467361
433898,47,477342
394428,48,487329
407832,49,497200
423664,50,506940
398874,51,516904
404276,52,526792
386215,53,536719
399016,54,546719
420461,55,556692
424813,56,566211
363904,57,576088
419211,58,585940
436046,59,595884
435644,60,605801
386514,61,615784
410156,62,625604
436149,63,635560
399171,64,645500
383577,65,655492
245095,66,665425
395385,67,675182
376844,68,685143
409994,69,695107
405376,70,704996
394413,71,714943
424975,72,724851
384543,73,734756
432118,74,744725
375205,75,754712
425017,76,764699
436765,77,774684
383535,78,784601
379502,79,794458
407799,80,804437
366467,81,814362
432110,82,824276
436768,83,834136
436928,84,844112
427037,85,854075
318634,86,864062
384539,87,874009
435193,88,883998
435724,89,893982
425308,90,903952
384603,91,913929
414226,92,923834
431108,93,933832
430671,94,943813
423542,95,953811
431548,96,963747
422138,97,973720
382893,98,983690
409966,99,993683
403784,100,1003644
394608,101,1013618
367075,102,1023599
435534,103,1033582
316068,104,1043548
379104,105,1053510
401363,106,1063428
397195,107,1073425
386796,108,1083387
320621,109,1093348
416469,110,1103198
403316,111,1113186
375752,112,1123162
399267,113,1133155
426548,114,1143152
360017,115,1153127
409296,116,1163079
417877,117,1173069
434132,118,1183045
422123,119,1193037
435589,120,1203022
436312,121,1212996
436713,122,1222922
436864,123,1232913
402750,124,1242898
414955,125,1252878
434146,126,1262852
407245,127,1272846
433759,128,1282837
433451,129,1292835
420549,130,1302796
394670,131,1312778
429769,132,1322743
380783,133,1332732
428140,134,1342732
374623,135,1352715
420764,136,1362671
430697,137,1372654
436554,138,1382638
429265,139,1392612
421588,140,1402600
431925,141,1412599
421549,142,1422590
306936,143,1432558
436937,144,1442556
426511,145,1452527
435078,146,1462497
379765,147,1472496
435969,148,1482491
434249,149,1492477
377779,150,1502472
436123,151,1512470
434470,152,1522464
383301,153,1532461
424575,154,1542453
419631,155,1552444
435732,156,1562431
435277,157,1572421
387282,158,1582410
431405,159,1592410
419882,160,1602407
394049,161,1612406
398037,162,1622397
397655,163,1632396
415736,164,1642396
421307,165,1652394
433150,166,1662384
434012,167,1672376
407275,168,1682367
430889,169,1692367
349234,170,1702360
428864,171,1712294
296188,172,1722293
410788,173,1732274
436248,174,1742266
436666,175,1752256
375065,176,1762253
420094,177,1772253
391846,178,1782245
291216,179,1792229
435864,180,1802211
435121,181,1812210
400192,182,1822198
408885,183,1832197
408539,184,1842193
424689,185,1852190
432230,186,1862181
402349,187,1872171
417612,188,1882160
435108,189,1892153
403594,190,1902146
409383,191,1912135
436935,192,1922132
436764,193,1932125
430687,194,1942115
408395,195,1952114
375052,196,1962111
394861,197,1972111
428676,198,1982108
353659,199,1992093
429358,200,2002093
